# Wavelength (Å), Efficiency
1.943143812709030138e+00,5.356025136884907667e-01
1.963210702341137148e+00,5.374936367851941288e-01
1.983277591973244158e+00,5.393513068341879713e-01
2.003344481605351390e+00,5.411763571186375410e-01
2.023411371237457956e+00,5.429695980342467143e-01
2.043478260869565410e+00,5.447318177738199596e-01
2.063545150501671976e+00,5.464637829784078082e-01
2.083612040133779431e+00,5.481662393582590331e-01
2.103678929765885997e+00,5.498399122856888477e-01
2.123745819397993451e+00,5.514855073627822346e-01
2.143812709030100461e+00,5.531036907001933844e-01
2.163879598662207471e+00,5.546949572875874424e-01
2.183946488294314481e+00,5.562597228692750528e-01
2.204013377926421491e+00,5.577983975838858299e-01
2.224080267558528501e+00,5.593113863896480575e-01
2.244147157190635511e+00,5.607990890861643818e-01
2.264214046822742521e+00,5.622619003320794562e-01
2.284280936454849531e+00,5.637002096601485546e-01
2.304347826086956541e+00,5.651144014900613133e-01
2.324414715719063551e+00,5.665048551398881305e-01
2.344481605351170561e+00,5.678719448367304246e-01
2.364548494983277571e+00,5.692160397270653593e-01
2.384615384615384581e+00,5.705375038872889659e-01
2.404682274247491591e+00,5.718366963346068754e-01
2.424749163879598601e+00,5.731139710388998276e-01
2.444816053511705611e+00,5.743696895804948355e-01
2.464882943143813065e+00,5.756042921395869705e-01
2.484949832775919631e+00,5.768182437472304525e-01
2.505016722408027086e+00,5.780119984708076419e-01
2.525083612040133652e+00,5.791859995765080704e-01
2.545150501672241106e+00,5.803406798107473286e-01
2.565217391304347672e+00,5.814764616723138158e-01
2.585284280936455126e+00,5.825937576753731362e-01
2.605351170568561692e+00,5.836929706042223165e-01
2.625418060200669146e+00,5.847744937596117687e-01
2.645484949832775712e+00,5.858387111977083617e-01
2.665551839464883166e+00,5.868859979615164146e-01
2.685618729096989732e+00,5.879167203052362289e-01
2.705685618729097186e+00,5.889312359119664997e-01
2.725752508361203752e+00,5.899298941051260847e-01
2.745819397993311206e+00,5.909130360534377013e-01
2.765886287625418216e+00,5.918809949702013018e-01
2.785953177257525226e+00,5.928340961985718582e-01
2.806020066889632236e+00,5.937726374167950905e-01
2.826086956521739246e+00,5.946968667253564877e-01
2.846153846153846256e+00,5.956070221885929605e-01
2.866220735785953266e+00,5.965033377308546214e-01
2.886287625418060276e+00,5.973860432074530324e-01
2.906354515050167286e+00,5.982553644739940779e-01
2.926421404682274297e+00,5.991115234543890056e-01
2.946488294314381307e+00,5.999547382070864465e-01
2.966555183946488317e+00,6.007852229900900731e-01
2.986622073578595327e+00,6.016031883247192624e-01
3.006688963210702337e+00,6.024088410578662955e-01
3.026755852842809347e+00,6.032023844233692644e-01
3.046822742474916357e+00,6.039840181020148524e-01
3.066889632107023367e+00,6.047539382804592023e-01
3.086956521739130377e+00,6.055123377092056502e-01
3.107023411371237387e+00,6.062594057595016572e-01
3.127090301003344397e+00,6.069953284792158898e-01
3.147157190635451407e+00,6.077202886478169086e-01
3.167224080267558417e+00,6.084344658304808862e-01
3.187290969899665427e+00,6.091380387548943620e-01
3.207357859531772437e+00,6.098312103882227442e-01
3.227424749163879447e+00,6.105141971817225066e-01
3.247491638795986901e+00,6.111872110098007793e-01
3.267558528428093911e+00,6.118504590011338840e-01
3.287625418060200921e+00,6.125041436524495397e-01
3.307692307692307931e+00,6.131484629393768593e-01
3.327759197324414941e+00,6.137836104239713375e-01
3.347826086956521952e+00,6.144097753593668054e-01
3.367892976588628962e+00,6.150271427914880684e-01
3.387959866220735972e+00,6.156358936581189933e-01
3.408026755852842982e+00,6.162362048850973384e-01
3.428093645484949992e+00,6.168282494800740867e-01
3.448160535117057002e+00,6.174121966237779979e-01
3.468227424749164012e+00,6.179882117587384149e-01
3.488294314381271022e+00,6.185564566758253724e-01
3.508361204013378032e+00,6.191170895984515754e-01
3.528428093645485042e+00,6.196702652646498555e-01
3.548494983277592052e+00,6.202161350069602674e-01
3.568561872909699062e+00,6.207548468304094902e-01
3.588628762541806072e+00,6.212865454883151894e-01
3.608695652173913082e+00,6.218113725564210492e-01
3.628762541806020092e+00,6.223294665049363683e-01
3.648829431438127102e+00,6.228409609873739594e-01
3.668896321070234112e+00,6.233459630528568329e-01
3.688963210702341122e+00,6.238445609789468049e-01
3.709030100334448132e+00,6.243368413645964399e-01
3.729096989966555142e+00,6.248228895246206172e-01
3.749163879598662152e+00,6.253027895086745724e-01
3.769230769230769162e+00,6.257766241196958124e-01
3.789297658862876172e+00,6.262444749318296644e-01
3.809364548494983183e+00,6.267064223078437912e-01
3.829431438127090193e+00,6.271625454161960933e-01
3.849498327759197203e+00,6.276129222475280711e-01
3.869565217391304213e+00,6.280576296309634543e-01
3.889632107023411223e+00,6.284967432498749229e-01
3.909698996655518677e+00,6.289303376574105764e-01
3.929765886287625687e+00,6.293584862916685729e-01
3.949832775919732697e+00,6.297812614905946571e-01
3.969899665551839707e+00,6.301987345065344082e-01
3.989966555183946717e+00,6.306109755206286138e-01
4.010033444816054171e+00,6.310180536568580356e-01
4.030100334448160737e+00,6.314200369959036552e-01
4.050167224080267303e+00,6.318169925887722194e-01
4.070234113712374757e+00,6.322089864702208351e-01
4.090301003344482211e+00,6.325960836719536351e-01
4.110367892976588777e+00,6.329783482356410307e-01
4.130434782608695343e+00,6.333558432257772042e-01
4.150501672240802797e+00,6.337286307442236977e-01
4.170568561872910252e+00,6.340967787736702110e-01
4.190635451505016817e+00,6.344603762254595880e-01
4.210702341137123383e+00,6.348195146838071512e-01
4.230769230769230838e+00,6.351742837795677499e-01
4.250836120401338292e+00,6.355247712287858119e-01
4.270903010033444858e+00,6.358710628775774421e-01
4.290969899665551424e+00,6.362132427456718142e-01
4.311036789297658878e+00,6.365513930687941579e-01
4.331103678929766332e+00,6.368855943398382680e-01
4.351170568561872898e+00,6.372159253489565467e-01
4.371237458193979464e+00,6.375424632224654387e-01
4.391304347826086918e+00,6.378652834607821953e-01
4.411371237458194372e+00,6.381844599752999336e-01
4.431438127090300938e+00,6.385000651242702663e-01
4.451505016722407504e+00,6.388121697477324723e-01
4.471571906354514958e+00,6.391208432015496044e-01
4.491638795986622412e+00,6.394261533904930239e-01
4.511705685618728978e+00,6.397281668005176947e-01
4.531772575250836432e+00,6.400269485301811612e-01
4.551839464882943886e+00,6.403225623212236428e-01
4.571906354515050452e+00,6.406150705884007257e-01
4.591973244147157018e+00,6.409045344485595486e-01
4.612040133779264472e+00,6.411910137489358341e-01
4.632107023411371927e+00,6.414745670947565870e-01
4.652173913043478493e+00,6.417552518761968638e-01
4.672240802675585059e+00,6.420331242945782613e-01
4.692307692307692513e+00,6.423082393879956387e-01
4.712374581939799967e+00,6.425806510562656060e-01
4.732441471571906533e+00,6.428504120852820414e-01
4.752508361204013099e+00,6.431175741707341187e-01
4.772575250836120553e+00,6.433821855166246273e-01
4.792642140468228007e+00,6.436442826475874401e-01
4.812709030100334573e+00,6.439038984841144453e-01
4.832775919732441139e+00,6.441610653965131883e-01
4.852842809364548593e+00,6.444158152155129438e-01
4.872909698996656047e+00,6.446681792424361346e-01
4.892976588628762613e+00,6.449181882592227577e-01
4.913043478260869179e+00,6.451658725381598236e-01
4.933110367892976633e+00,6.454112618514659117e-01
4.953177257525084087e+00,6.456543854806293670e-01
4.973244147157190653e+00,6.458952722255628665e-01
4.993311036789297219e+00,6.461339504135622525e-01
5.013377926421404673e+00,6.463704479080660814e-01
5.033444816053512127e+00,6.466047921172417556e-01
5.053511705685618693e+00,6.468370100023737024e-01
5.073578595317726148e+00,6.470671280861027830e-01
5.093645484949832714e+00,6.472951724604556478e-01
5.113712374581940168e+00,6.475211687947544092e-01
5.133779264214046734e+00,6.477451423433053801e-01
5.153846153846154188e+00,6.479671179529858938e-01
5.173913043478260754e+00,6.481871200706287306e-01
5.193979933110368208e+00,6.484051727502876394e-01
5.214046822742474774e+00,6.486212996603258896e-01
5.234113712374582228e+00,6.488355240903931342e-01
5.254180602006688794e+00,6.490478689582291905e-01
5.274247491638796248e+00,6.492583568163456942e-01
5.294314381270902814e+00,6.494670098585744178e-01
5.314381270903010268e+00,6.496738499264759215e-01
5.334448160535116834e+00,6.498788985156256359e-01
5.354515050167224288e+00,6.500821767817759333e-01
5.374581939799330854e+00,6.502837055468763117e-01
5.394648829431438308e+00,6.504835053050189719e-01
5.414715719063544874e+00,6.506815962282008758e-01
5.434782608695652328e+00,6.508779982351216020e-01
5.454849498327758894e+00,6.510727320747002889e-01
5.474916387959866348e+00,6.512658191645459560e-01
5.494983277591973803e+00,6.514572806096772251e-01
5.515050167224080369e+00,6.516471371650662814e-01
5.535117056856187823e+00,6.518354092419665902e-01
5.555183946488294389e+00,6.520221169142690343e-01
5.575250836120401843e+00,6.522072799247886632e-01
5.595317725752508409e+00,6.523909176913554875e-01
5.615384615384615863e+00,6.525730493128503173e-01
5.635451505016722429e+00,6.527536935750730684e-01
5.655518394648829883e+00,6.529328689565311317e-01
5.675585284280936449e+00,6.531105936340704243e-01
5.695652173913043903e+00,6.532868854884513743e-01
5.715719063545150469e+00,6.534617621097676965e-01
5.735785953177257923e+00,6.536352408027756855e-01
5.755852842809364489e+00,6.538073385921245873e-01
5.775919732441471943e+00,6.539780722274737279e-01
5.795986622073578509e+00,6.541474581885112771e-01
5.816053511705685963e+00,6.543155126898905216e-01
5.836120401337792529e+00,6.544822516860320238e-01
5.856187290969899983e+00,6.546476908758736002e-01
5.876254180602006549e+00,6.548118457075088328e-01
5.896321070234114003e+00,6.549747313827227746e-01
5.916387959866220569e+00,6.551363628614651491e-01
5.936454849498328024e+00,6.552967548662071984e-01
5.956521739130434590e+00,6.554559218862495706e-01
5.976588628762542044e+00,6.556138781819039751e-01
5.996655518394648610e+00,6.557706377886302063e-01
6.016722408026756064e+00,6.559262145210691397e-01
6.036789297658862630e+00,6.560806219770209946e-01
6.056856187290970084e+00,6.562338735413043578e-01
6.076923076923076650e+00,6.563859823895955570e-01
6.096989966555184104e+00,6.565369614921539032e-01
6.117056856187290670e+00,6.566868236174810969e-01
6.137123745819398124e+00,6.568355813359275652e-01
6.157190635451505578e+00,6.569832470232093158e-01
6.177257525083612144e+00,6.571298328638731645e-01
6.197324414715719598e+00,6.572753508546723689e-01
6.217391304347826164e+00,6.574198128110744221e-01
6.237458193979933618e+00,6.575632311134179675e-01
6.257525083612040184e+00,6.577056196361633633e-01
6.277591973244147638e+00,6.578469922581827722e-01
6.297658862876254204e+00,6.579873626298955447e-01
6.317725752508361658e+00,6.581267441775188187e-01
6.337792642140468224e+00,6.582651501072575018e-01
6.357859531772575679e+00,6.584025934093779009e-01
6.377926421404682245e+00,6.585390868622297278e-01
6.397993311036789699e+00,6.586746430361555271e-01
6.418060200668896265e+00,6.588092742973451488e-01
6.438127090301003719e+00,6.589429928115951851e-01
6.458193979933110285e+00,6.590758105479974649e-01
6.478260869565217739e+00,6.592077392825586024e-01
6.498327759197324305e+00,6.593387906017300626e-01
6.518394648829431759e+00,6.594689759058862677e-01
6.538461538461538325e+00,6.595983064127207696e-01
6.558528428093645779e+00,6.597267931605682589e-01
6.578595317725752345e+00,6.598544470116779470e-01
6.598662207357859799e+00,6.599812786554067889e-01
6.618729096989966365e+00,6.601072986113472041e-01
6.638795986622073819e+00,6.602325172324063907e-01
6.658862876254180385e+00,6.603569447078108112e-01
6.678929765886287839e+00,6.604805910660518364e-01
6.698996655518394405e+00,6.606034661777780981e-01
6.719063545150501859e+00,6.607255797586277790e-01
6.739130434782608425e+00,6.608469413720118313e-01
6.759197324414715879e+00,6.609675604318178133e-01
6.779264214046822445e+00,6.610874462050916334e-01
6.799331103678929900e+00,6.612066078146502379e-01
6.819397993311037354e+00,6.613250542416383437e-01
6.839464882943143920e+00,6.614427943280457578e-01
6.859531772575251374e+00,6.615598367791674095e-01
6.879598662207357940e+00,6.616761901660201950e-01
6.899665551839465394e+00,6.617918629277083076e-01
6.919732441471571960e+00,6.619068633737492657e-01
6.939799331103679414e+00,6.620211996863385462e-01
6.959866220735785980e+00,6.621348799225960091e-01
6.979933110367893434e+00,6.622479120167388267e-01
7.000000000000000000e+00,6.623603037822378692e-01
