# Wavelength (Å), Efficiency
1.000000000000000021e-02,1.358322392391689108e-02
2.000000000000000042e-02,2.716843695185713892e-02
2.999999999999999889e-02,4.091488005298429126e-02
4.000000000000000083e-02,5.408433480189699105e-02
5.000000000000000278e-02,6.746239150775713844e-02
6.000000000000000472e-02,7.999134699667981296e-02
6.999999999999999278e-02,9.386078257270798197e-02
8.000000000000000167e-02,1.063307133790303838e-01
8.999999999999999667e-02,1.182717550522438960e-01
9.999999999999999167e-02,1.313913788750648293e-01
1.100000000000000006e-01,1.431905221052408028e-01
1.199999999999999956e-01,1.541804239670794829e-01
1.300000000000000044e-01,1.670547031410057892e-01
1.400000000000000133e-01,1.775458111536784012e-01
1.500000000000000222e-01,1.888332802322171822e-01
1.600000000000000033e-01,2.008992143160180655e-01
1.700000000000000122e-01,2.112422997600853225e-01
1.800000000000000211e-01,2.216934875028908070e-01
1.900000000000000022e-01,2.333912259154665159e-01
2.000000000000000111e-01,2.445052675154459065e-01
2.100000000000000200e-01,2.542699393766569838e-01
2.200000000000000011e-01,2.636446502898090460e-01
2.300000000000000100e-01,2.736832821930847981e-01
2.400000000000000189e-01,2.840549211516544270e-01
2.500000000000000000e-01,2.940344900275069229e-01
2.600000000000000089e-01,3.033694464345719766e-01
2.700000000000000178e-01,3.124850857160323958e-01
2.800000000000000266e-01,3.216298813031335802e-01
2.900000000000000355e-01,3.310523837198819930e-01
2.999999999999999889e-01,3.404014403782422149e-01
3.099999999999999978e-01,3.493875468031100162e-01
3.200000000000000067e-01,3.580118908089662821e-01
3.300000000000000155e-01,3.663538878502354268e-01
3.400000000000000244e-01,3.746521455083394736e-01
3.500000000000000333e-01,3.828563350994123038e-01
3.600000000000000422e-01,3.909373583093693760e-01
3.699999999999999956e-01,3.990677389959737531e-01
3.800000000000000044e-01,4.070089844271552182e-01
3.900000000000000133e-01,4.148776849687566548e-01
4.000000000000000222e-01,4.226077984760454043e-01
4.100000000000000311e-01,4.301637834573853181e-01
4.200000000000000400e-01,4.376556235837394393e-01
4.299999999999999933e-01,4.450084225122034054e-01
4.400000000000000022e-01,4.522733536762164053e-01
