# Wavelength (Å), Efficiency
5.200000000000000178e-01,4.550039331213636684e-01
5.300000000000000266e-01,4.608637224444797065e-01
5.400000000000000355e-01,4.666170732117853048e-01
5.500000000000000444e-01,4.723542333588447439e-01
5.600000000000000533e-01,4.778289460942866662e-01
5.700000000000000622e-01,4.833502080947292834e-01
5.800000000000000711e-01,4.889218939594864310e-01
5.899999999999999689e-01,4.942550140853797513e-01
5.999999999999999778e-01,4.993896480886502176e-01
6.099999999999999867e-01,5.046459064273477457e-01
6.199999999999999956e-01,5.096751659782724486e-01
6.300000000000000044e-01,5.148350513241941595e-01
6.400000000000000133e-01,5.197679356784806748e-01
6.500000000000000222e-01,5.245592979982438564e-01
6.600000000000000311e-01,5.294236766770353819e-01
6.700000000000000400e-01,5.341196343966828630e-01
6.800000000000000488e-01,5.388177836737407800e-01
6.900000000000000577e-01,5.433196596470856177e-01
7.000000000000000666e-01,5.479488460852041110e-01
7.100000000000000755e-01,5.524171496911979284e-01
7.199999999999999734e-01,5.568370776479197870e-01
7.299999999999999822e-01,5.610676298944303753e-01
7.399999999999999911e-01,5.655369072838287714e-01
7.500000000000000000e-01,5.696356669763775749e-01
7.600000000000000089e-01,5.738843145261455225e-01
7.700000000000000178e-01,5.780053637870439243e-01
7.800000000000000266e-01,5.820529037732928845e-01
7.900000000000000355e-01,5.859702823560641871e-01
8.000000000000000444e-01,5.899059604514205191e-01
8.100000000000000533e-01,5.937682389300028563e-01
8.200000000000000622e-01,5.975268522550171157e-01
8.300000000000000711e-01,6.012551174998148618e-01
8.400000000000000799e-01,6.050296759640089173e-01
8.499999999999999778e-01,6.086677175939732010e-01
8.599999999999999867e-01,6.122781953366291940e-01
8.699999999999999956e-01,6.158136206956258407e-01
8.800000000000000044e-01,6.193845730781488701e-01
8.900000000000000133e-01,6.228387527884813313e-01
9.000000000000000222e-01,6.262047996474627842e-01
9.100000000000000311e-01,6.295921872903206262e-01
9.200000000000000400e-01,6.329807790141838142e-01
9.300000000000000488e-01,6.361807339261714711e-01
9.400000000000000577e-01,6.394044207374988131e-01
9.500000000000000666e-01,6.425755589254616984e-01
9.600000000000000755e-01,6.456765317961636885e-01
9.699999999999999734e-01,6.486626121187966110e-01
9.799999999999999822e-01,6.517657620554351272e-01
9.899999999999999911e-01,6.548481600679724179e-01
1.000000000000000000e+00,6.576701813223949644e-01
1.010000000000000009e+00,6.607213752734313328e-01
1.020000000000000018e+00,6.634002336180548909e-01
1.030000000000000027e+00,6.661991528408589547e-01
1.040000000000000036e+00,6.690112741344350633e-01
1.050000000000000044e+00,6.717271462775464830e-01
1.060000000000000053e+00,6.743874070295935441e-01
1.070000000000000062e+00,6.769373757606080844e-01
1.080000000000000071e+00,6.796693978020672544e-01
1.090000000000000080e+00,6.822700608537267675e-01
1.100000000000000089e+00,6.850227132432979982e-01
1.110000000000000098e+00,6.874566523874559021e-01
1.120000000000000107e+00,6.899685985816050859e-01
1.130000000000000115e+00,6.923525684662575896e-01
1.140000000000000124e+00,6.946019021006614169e-01
1.150000000000000133e+00,6.971164683421249286e-01
1.160000000000000142e+00,6.993851883152696347e-01
1.169999999999999929e+00,7.017755091918991273e-01
1.179999999999999938e+00,7.041026524439550904e-01
1.189999999999999947e+00,7.063528312570999113e-01
1.199999999999999956e+00,7.083842198985381700e-01
1.209999999999999964e+00,7.107860271264161423e-01
1.219999999999999973e+00,7.127036667536019721e-01
1.229999999999999982e+00,7.148884432937248068e-01
1.239999999999999991e+00,7.171049024106520564e-01
1.250000000000000000e+00,7.191025501205291492e-01
1.260000000000000009e+00,7.211216479386757250e-01
1.270000000000000018e+00,7.230997678719647270e-01
1.280000000000000027e+00,7.251182554045831896e-01
1.290000000000000036e+00,7.271186036328128877e-01
1.300000000000000044e+00,7.289242385052121520e-01
1.310000000000000053e+00,7.310608498365127605e-01
1.320000000000000062e+00,7.327662032988623286e-01
1.330000000000000071e+00,7.345287985924491281e-01
1.340000000000000080e+00,7.362870407729300570e-01
1.350000000000000089e+00,7.381121154363512460e-01
1.360000000000000098e+00,7.398611670906958260e-01
1.370000000000000107e+00,7.417038694414483935e-01
1.380000000000000115e+00,7.433858241768538377e-01
1.390000000000000124e+00,7.450543274660580417e-01
1.400000000000000133e+00,7.467649330000738495e-01
1.410000000000000142e+00,7.483895757162366547e-01
1.419999999999999929e+00,7.499887979450555742e-01
1.429999999999999938e+00,7.517064820085341825e-01
1.439999999999999947e+00,7.532830176082222495e-01
1.449999999999999956e+00,7.547730867385239462e-01
1.459999999999999964e+00,7.562975982327982960e-01
1.469999999999999973e+00,7.578000723882312162e-01
1.479999999999999982e+00,7.593818617650986980e-01
1.489999999999999991e+00,7.608395449041358560e-01
1.500000000000000000e+00,7.623526002702396553e-01
1.510000000000000009e+00,7.638444537688799940e-01
1.520000000000000018e+00,7.650520951669099734e-01
1.530000000000000027e+00,7.664984224693307535e-01
1.540000000000000036e+00,7.679107283136882289e-01
1.550000000000000044e+00,7.692601418816904513e-01
1.560000000000000053e+00,7.705319434505980558e-01
1.570000000000000062e+00,7.719644165059001972e-01
1.580000000000000071e+00,7.731640601971211391e-01
1.590000000000000080e+00,7.743222539840423080e-01
1.600000000000000089e+00,7.755385253799045309e-01
1.610000000000000098e+00,7.769971193300014844e-01
1.620000000000000107e+00,7.782127063200247052e-01
1.630000000000000115e+00,7.793975205451977306e-01
1.640000000000000124e+00,7.804406129669638759e-01
1.650000000000000133e+00,7.815905583566578052e-01
1.660000000000000142e+00,7.827482739565516656e-01
1.670000000000000151e+00,7.840661005236184700e-01
1.679999999999999938e+00,7.852689488083552938e-01
1.689999999999999947e+00,7.862925829225757557e-01
1.699999999999999956e+00,7.873411067246522954e-01
1.709999999999999964e+00,7.884416357284343979e-01
1.719999999999999973e+00,7.895097952691721988e-01
1.729999999999999982e+00,7.906163857704843201e-01
1.739999999999999991e+00,7.914837914720465051e-01
1.750000000000000000e+00,7.925349181325516135e-01
1.760000000000000009e+00,7.936369748775947697e-01
1.770000000000000018e+00,7.947758045012650596e-01
1.780000000000000027e+00,7.956248599235147267e-01
1.790000000000000036e+00,7.966331924119874897e-01
1.800000000000000044e+00,7.975883601184272642e-01
1.810000000000000053e+00,7.984205332324795235e-01
1.820000000000000062e+00,7.993462310476512345e-01
1.830000000000000071e+00,8.003851275016813371e-01
1.840000000000000080e+00,8.013700701771496737e-01
1.850000000000000089e+00,8.020636718010512034e-01
1.860000000000000098e+00,8.027811181311821365e-01
1.870000000000000107e+00,8.037006915759045134e-01
1.880000000000000115e+00,8.045647583403447989e-01
1.890000000000000124e+00,8.054194705340854687e-01
1.900000000000000133e+00,8.061627334249991117e-01
1.910000000000000142e+00,8.070398587980825988e-01
1.920000000000000151e+00,8.076941050298490632e-01
1.929999999999999938e+00,8.086049155501505714e-01
1.939999999999999947e+00,8.096067396664372584e-01
1.949999999999999956e+00,8.103382463747967890e-01
1.959999999999999964e+00,8.110137150542857665e-01
1.969999999999999973e+00,8.119095319950748735e-01
1.979999999999999982e+00,8.125723623827438846e-01
1.989999999999999991e+00,8.130136931775479026e-01
2.000000000000000000e+00,8.139717372504159387e-01
2.009999999999999787e+00,8.145730541235773892e-01
2.020000000000000018e+00,8.153617783793803975e-01
2.029999999999999805e+00,8.161228811470657707e-01
2.040000000000000036e+00,8.167788324525270260e-01
2.049999999999999822e+00,8.174825202899902443e-01
2.059999999999999609e+00,8.181265431010688038e-01
2.069999999999999840e+00,8.188853186111220150e-01
2.079999999999999627e+00,8.194847806456544426e-01
2.089999999999999858e+00,8.202755887717135819e-01
2.099999999999999645e+00,8.209246350541813397e-01
2.109999999999999876e+00,8.212471877922208341e-01
2.119999999999999662e+00,8.219976963629139766e-01
2.129999999999999893e+00,8.224447094726666796e-01
2.139999999999999680e+00,8.230328131020249183e-01
2.149999999999999911e+00,8.236730991170265748e-01
2.159999999999999698e+00,8.242875298346037383e-01
2.169999999999999929e+00,8.248305621745380956e-01
2.179999999999999716e+00,8.254134163533124458e-01
2.189999999999999947e+00,8.258711940708113319e-01
