# Wavelength (Å), Depth (cm)
5.550000000000004263e+00,4.597400000000000375e-01
5.600000000000004086e+00,4.572000000000000508e-01
5.650000000000003908e+00,4.521200000000000219e-01
5.700000000000004619e+00,4.495800000000000352e-01
5.750000000000004441e+00,4.445000000000000062e-01
5.800000000000004263e+00,4.419600000000000195e-01
5.850000000000004086e+00,4.368800000000000461e-01
5.900000000000003908e+00,4.343400000000000039e-01
5.950000000000004619e+00,4.292600000000000304e-01
6.000000000000004441e+00,4.267200000000000437e-01
6.050000000000004263e+00,4.216400000000000148e-01
6.100000000000004974e+00,4.191000000000000281e-01
6.150000000000004796e+00,4.165600000000000414e-01
6.200000000000004619e+00,4.114800000000000124e-01
6.250000000000004441e+00,4.089400000000000257e-01
6.300000000000004263e+00,4.064000000000000390e-01
6.350000000000004974e+00,4.013200000000000101e-01
6.400000000000004796e+00,3.987800000000000233e-01
6.450000000000004619e+00,3.962400000000000366e-01
6.500000000000005329e+00,3.937000000000000499e-01
6.550000000000005151e+00,3.911600000000000077e-01
6.600000000000004974e+00,3.860800000000000343e-01
6.650000000000004796e+00,3.835400000000000476e-01
6.700000000000004619e+00,3.810000000000000053e-01
6.750000000000005329e+00,3.784600000000000186e-01
6.800000000000005151e+00,3.759200000000000319e-01
6.850000000000004974e+00,3.733800000000000452e-01
6.900000000000005684e+00,3.708400000000000030e-01
6.950000000000005507e+00,3.683000000000000163e-01
7.000000000000005329e+00,3.657600000000000295e-01
