# Wavelength (Å), Efficiency
3.227424749163879447e+00,5.884366320427936170e-01
3.247491638795986901e+00,5.889992722365330335e-01
3.267558528428093911e+00,5.895536682162364484e-01
3.287625418060200921e+00,5.901000019022840659e-01
3.307692307692307931e+00,5.906384508354813878e-01
3.327759197324414941e+00,5.911691882896238370e-01
3.347826086956521952e+00,5.916923833808332978e-01
3.367892976588628962e+00,5.922082011736520268e-01
3.387959866220735972e+00,5.927168027842032449e-01
3.408026755852842982e+00,5.932183454802149036e-01
3.428093645484949992e+00,5.937129827783292901e-01
3.448160535117057002e+00,5.942008645386300802e-01
3.468227424749164012e+00,5.946821370564490117e-01
3.488294314381271022e+00,5.951569431516630093e-01
3.508361204013378032e+00,5.956254222554916433e-01
3.528428093645485042e+00,5.960877104949195981e-01
3.548494983277592052e+00,5.965439407747095135e-01
3.568561872909699062e+00,5.969942428573179471e-01
3.588628762541806072e+00,5.974387434404629937e-01
3.608695652173913082e+00,5.978775662327419083e-01
3.628762541806020092e+00,5.983108320271215419e-01
3.648829431438127102e+00,5.987386571929563805e-01
3.668896321070234112e+00,5.991611343758320718e-01
3.688963210702341122e+00,5.995783394818441359e-01
3.709030100334448132e+00,5.999903468495700887e-01
3.729096989966555142e+00,6.003972296041463208e-01
3.749163879598662152e+00,6.007990596780984349e-01
3.769230769230769162e+00,6.011959078315912697e-01
3.789297658862876172e+00,6.015878436720565325e-01
3.809364548494983183e+00,6.019749356733212764e-01
3.829431438127090193e+00,6.023572511942473229e-01
3.849498327759197203e+00,6.027348564967647260e-01
3.869565217391304213e+00,6.031078167636543252e-01
3.889632107023411223e+00,6.034761961157075749e-01
3.909698996655518677e+00,6.038400576286038213e-01
3.929765886287625687e+00,6.041994633493522615e-01
3.949832775919732697e+00,6.045544743124080522e-01
3.969899665551839707e+00,6.049051505553806329e-01
3.989966555183946717e+00,6.052515511344972454e-01
4.010033444816054171e+00,6.055937341396886442e-01
4.030100334448160737e+00,6.059317567094074652e-01
4.050167224080267303e+00,6.062656750451570487e-01
4.070234113712374757e+00,6.065955444257492557e-01
4.090301003344482211e+00,6.069214192213039372e-01
4.110367892976588777e+00,6.072433529069853897e-01
4.130434782608695343e+00,6.075613980765273148e-01
4.150501672240802797e+00,6.078756064571734230e-01
4.170568561872910252e+00,6.081860349321858150e-01
4.190635451505016817e+00,6.084927587673268912e-01
4.210702341137123383e+00,6.087958555355104107e-01
4.230769230769230838e+00,6.090954010519874506e-01
4.250836120401338292e+00,6.093914694122708475e-01
4.270903010033444858e+00,6.096841330351679966e-01
4.290969899665551424e+00,6.099734627044901547e-01
4.311036789297658878e+00,6.102595276095981180e-01
4.331103678929766332e+00,6.105423953846859098e-01
4.351170568561872898e+00,6.108221321470433951e-01
4.371237458193979464e+00,6.110988025340824414e-01
4.391304347826086918e+00,6.113724697393956298e-01
4.411371237458194372e+00,6.116431955477634741e-01
4.431438127090300938e+00,6.119110403691530031e-01
4.451505016722407504e+00,6.121760632717755390e-01
4.471571906354514958e+00,6.124383220142369799e-01
4.491638795986622412e+00,6.126978730767386194e-01
4.511705685618728978e+00,6.129547716914778288e-01
4.531772575250836432e+00,6.132090718721788791e-01
4.551839464882943886e+00,6.134608264428135227e-01
4.571906354515050452e+00,6.137100870655405327e-01
4.591973244147157018e+00,6.139569042679194899e-01
4.612040133779264472e+00,6.142013274693420843e-01
4.632107023411371927e+00,6.144434050067799635e-01
4.652173913043478493e+00,6.146831841598650037e-01
4.672240802675585059e+00,6.149207111752573729e-01
4.692307692307692513e+00,6.151560312904187366e-01
4.712374581939799967e+00,6.153891887567231045e-01
4.732441471571906533e+00,6.156202268619889173e-01
4.752508361204013099e+00,6.158491879523750878e-01
4.772575250836120553e+00,6.160761113352436480e-01
4.792642140468228007e+00,6.163010261290445824e-01
4.812709030100334573e+00,6.165239583259695122e-01
4.832775919732441139e+00,6.167449334618250179e-01
4.852842809364548593e+00,6.169639766255653468e-01
4.872909698996656047e+00,6.171811124684359884e-01
4.892976588628762613e+00,6.173963652129278445e-01
4.913043478260869179e+00,6.176097586614955892e-01
4.933110367892976633e+00,6.178213162051033880e-01
4.953177257525084087e+00,6.180310608315349175e-01
