# Wavelength (Å), Efficiency
8.599999999999999867e-01,6.992889722464258329e-01
8.699999999999999956e-01,7.030470537552571120e-01
8.800000000000000044e-01,7.068343149221152366e-01
8.900000000000000133e-01,7.104948874984008400e-01
9.000000000000000222e-01,7.140566785515374271e-01
9.100000000000000311e-01,7.176321892351279486e-01
9.200000000000000400e-01,7.212018454404237611e-01
9.300000000000000488e-01,7.245706095462203233e-01
9.400000000000000577e-01,7.279587870625968682e-01
9.500000000000000666e-01,7.312823743186390724e-01
9.600000000000000755e-01,7.345266678082140732e-01
9.699999999999999734e-01,7.376516927309326732e-01
9.799999999999999822e-01,7.408867375975209946e-01
9.899999999999999911e-01,7.440955434258904599e-01
1.000000000000000000e+00,7.470311554388885389e-01
1.010000000000000009e+00,7.501955496631687037e-01
1.020000000000000018e+00,7.529717247296606741e-01
1.030000000000000027e+00,7.558699836300200037e-01
1.040000000000000036e+00,7.587724323489563050e-01
1.050000000000000044e+00,7.615689990368454954e-01
1.060000000000000053e+00,7.643056773440052298e-01
1.070000000000000062e+00,7.669253217826765834e-01
1.080000000000000071e+00,7.697235432537730127e-01
1.090000000000000080e+00,7.723833085062268289e-01
1.100000000000000089e+00,7.751889519646329996e-01
1.110000000000000098e+00,7.776708704110479875e-01
1.120000000000000107e+00,7.802248290312618906e-01
1.130000000000000115e+00,7.826457964091761976e-01
1.140000000000000124e+00,7.849264555364955376e-01
1.150000000000000133e+00,7.874677658433025806e-01
1.160000000000000142e+00,7.897575758889925357e-01
1.169999999999999929e+00,7.921635958229922281e-01
1.179999999999999938e+00,7.945012406263165516e-01
1.189999999999999947e+00,7.967579362779866337e-01
1.199999999999999956e+00,7.987947473107689378e-01
1.209999999999999964e+00,8.011912663380271749e-01
1.219999999999999973e+00,8.031065337599169185e-01
1.229999999999999982e+00,8.052791969973230879e-01
1.239999999999999991e+00,8.074803159067149849e-01
1.250000000000000000e+00,8.094592158756350742e-01
1.260000000000000009e+00,8.114563103889648188e-01
1.270000000000000018e+00,8.134086629869438090e-01
1.280000000000000027e+00,8.153961585538677115e-01
1.290000000000000036e+00,8.173618155095144777e-01
1.300000000000000044e+00,8.191325304010375064e-01
1.310000000000000053e+00,8.212229395030662404e-01
1.320000000000000062e+00,8.228878776744132928e-01
1.330000000000000071e+00,8.246051604534052615e-01
1.340000000000000080e+00,8.263142008180147657e-01
1.350000000000000089e+00,8.280846411071061119e-01
1.360000000000000098e+00,8.297776045316705984e-01
1.370000000000000107e+00,8.315577576053325703e-01
1.380000000000000115e+00,8.331783731170609997e-01
1.390000000000000124e+00,8.347820610567437960e-01
1.400000000000000133e+00,8.364231256222506294e-01
1.410000000000000142e+00,8.379775264072476526e-01
1.419999999999999929e+00,8.395040955436663399e-01
1.429999999999999938e+00,8.411423113068177138e-01
1.439999999999999947e+00,8.426406829203039184e-01
1.449999999999999956e+00,8.440512413902222510e-01
1.459999999999999964e+00,8.454940678591056358e-01
1.469999999999999973e+00,8.469121513251852695e-01
1.479999999999999982e+00,8.484039521576903775e-01
1.489999999999999991e+00,8.497717094787381464e-01
1.500000000000000000e+00,8.511898841965519491e-01
1.510000000000000009e+00,8.525859253068419630e-01
1.520000000000000018e+00,8.537067259286285070e-01
1.530000000000000027e+00,8.550528249765018129e-01
1.540000000000000036e+00,8.563648553358575999e-01
1.550000000000000044e+00,8.576142139590362534e-01
1.560000000000000053e+00,8.587863379040124867e-01
1.570000000000000062e+00,8.601075513221299040e-01
1.580000000000000071e+00,8.612071730659650592e-01
1.590000000000000080e+00,8.622639883398298677e-01
1.600000000000000089e+00,8.633745194410815671e-01
1.610000000000000098e+00,8.647122858475931872e-01
1.620000000000000107e+00,8.658147807346101565e-01
1.630000000000000115e+00,8.668885055658810401e-01
1.640000000000000124e+00,8.678210967614855553e-01
1.650000000000000133e+00,8.688564386082547886e-01
1.660000000000000142e+00,8.699006015154290283e-01
1.670000000000000151e+00,8.710919434802316674e-01
1.679999999999999938e+00,8.721707283894032381e-01
1.689999999999999947e+00,8.730775001852165706e-01
1.699999999999999956e+00,8.740078356920711888e-01
1.709999999999999964e+00,8.749862638042761320e-01
1.719999999999999973e+00,8.759287644575073362e-01
1.729999999999999982e+00,8.769077259514835854e-01
1.739999999999999991e+00,8.776598526694212588e-01
1.750000000000000000e+00,8.785838473918271552e-01
1.760000000000000009e+00,8.795548112951442343e-01
1.770000000000000018e+00,8.805553002014997466e-01
1.780000000000000027e+00,8.812830979043979607e-01
1.790000000000000036e+00,8.821623986668939432e-01
1.800000000000000044e+00,8.829868881298433836e-01
1.810000000000000053e+00,8.836942980775730483e-01
1.820000000000000062e+00,8.844900212717117238e-01
1.830000000000000071e+00,8.853907082573140297e-01
1.840000000000000080e+00,8.862392952555211423e-01
1.850000000000000089e+00,8.868122213074360882e-01
1.860000000000000098e+00,8.874059238129816674e-01
1.870000000000000107e+00,8.881853075271315401e-01
1.880000000000000115e+00,8.889134362769368636e-01
1.890000000000000124e+00,8.896319179488817452e-01
1.900000000000000133e+00,8.902442147511661075e-01
1.910000000000000142e+00,8.909832888067034107e-01
1.920000000000000151e+00,8.915116427399979449e-01
1.929999999999999938e+00,8.922796967939088386e-01
1.939999999999999947e+00,8.931317686267530309e-01
1.949999999999999956e+00,8.937281744514801174e-01
1.959999999999999964e+00,8.942705078660531104e-01
1.969999999999999973e+00,8.950197931823846709e-01
1.979999999999999982e+00,8.955528298541303167e-01
1.989999999999999991e+00,8.958777592252841204e-01
2.000000000000000000e+00,8.966836857593533106e-01
2.009999999999999787e+00,8.971554472652952805e-01
2.020000000000000018e+00,8.978011669762787639e-01
2.029999999999999805e+00,8.984171852071191067e-01
2.040000000000000036e+00,8.989347337066964094e-01
2.049999999999999822e+00,8.995021282058186518e-01
2.059999999999999609e+00,9.000141044901168730e-01
2.069999999999999840e+00,9.006246162445673553e-01
2.079999999999999627e+00,9.010901695448068072e-01
2.089999999999999858e+00,9.017321586956243973e-01
2.099999999999999645e+00,9.022378995821046521e-01
2.109999999999999876e+00,9.024383058144634928e-01
2.119999999999999662e+00,9.030455842633493546e-01
2.129999999999999893e+00,9.033625066677914983e-01
2.139999999999999680e+00,9.038125628639842590e-01
2.149999999999999911e+00,9.043129033830805685e-01
2.159999999999999698e+00,9.047905396674564837e-01
2.169999999999999929e+00,9.052022962858150557e-01
2.179999999999999716e+00,9.056399492883620006e-01
2.189999999999999947e+00,9.059625835992494158e-01
2.199999999999999734e+00,9.063703104243479025e-01
2.209999999999999964e+00,9.067817314384711835e-01
2.219999999999999751e+00,9.069007587222509548e-01
2.229999999999999982e+00,9.075456319857539977e-01
2.239999999999999769e+00,9.080044586023034991e-01
2.250000000000000000e+00,9.083914615271391213e-01
2.259999999999999787e+00,9.087829321320277653e-01
2.270000000000000018e+00,9.091124158423518065e-01
2.279999999999999805e+00,9.095798579430898201e-01
2.290000000000000036e+00,9.098937397137442096e-01
2.299999999999999822e+00,9.100798828804521623e-01
2.310000000000000053e+00,9.105199065860160035e-01
2.319999999999999840e+00,9.108545855535951086e-01
2.329999999999999627e+00,9.111830430682733573e-01
2.339999999999999858e+00,9.115082360346988821e-01
2.349999999999999645e+00,9.117731660727880216e-01
2.359999999999999876e+00,9.119164480117112337e-01
2.369999999999999662e+00,9.122125406898048405e-01
2.379999999999999893e+00,9.126899754558356337e-01
2.389999999999999680e+00,9.130141896524324174e-01
2.399999999999999911e+00,9.131359107499235073e-01
2.409999999999999698e+00,9.133313301422388841e-01
2.419999999999999929e+00,9.138001134174207341e-01
2.429999999999999716e+00,9.140399181268947792e-01
2.439999999999999947e+00,9.142417499633015421e-01
2.449999999999999734e+00,9.144323923336808990e-01
2.459999999999999964e+00,9.146802252326591276e-01
2.469999999999999751e+00,9.150317596622561389e-01
2.479999999999999982e+00,9.153245232212080529e-01
2.489999999999999769e+00,9.154255453531934261e-01
2.500000000000000000e+00,9.156937557842884656e-01
2.509999999999999787e+00,9.159133376114698688e-01
2.520000000000000018e+00,9.160539650677266277e-01
2.529999999999999805e+00,9.163537559553848189e-01
2.540000000000000036e+00,9.165956744171728232e-01
2.549999999999999822e+00,9.167932176839073133e-01
